CASE_NUM,CRIME_DESC,CHARGE_CODE,CHARGE_DESC,CRIME_PART,ADDRESS,CITY,DATE,CATEGORY,POINT_X,POINT_Y
210047080,SHOPLIFTING,3078,"RETAIL FRAUD, THEFT 3RD DEGREE",A,100 BLOCK BRIARWOOD CIR,ANN ARBOR,2021-12-17 13:53:00,LARCENY - RETAIL FRAUD,-83.74757489899997,42.24036790100007
210047021,MOTOR VEHICLE THEFT,2404,VEHICLE THEFT UDAA (REPORTED BY YOUR JURISDICTION),A,600 BLOCK E HURON ST,ANN ARBOR,2021-12-18 02:00:00,MOTOR VEHICLE THEFT / FRAUD,-83.74199299899999,42.28154919900004
210047175,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,800 BLOCK SYBIL ST,ANN ARBOR,2021-12-18 18:52:30,LARCENY - FROM AUTO (LFA),-83.74338309899997,42.27128769900003
210047180,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,3800 BLOCK PLATT RD,ANN ARBOR,2021-12-19 11:24:00,ASSAULT - SIMPLE,-83.69975569899998,42.23113200000006
210047019,ALL OTHER,7402,PROWLER,B,900 BLOCK LINCOLN AVE,ANN ARBOR,2021-12-18 05:55:00,OTHER - MICR OFFENSES,-83.72933560099995,42.27115320000007
211000842,THEFT FROM BUILDING,2308,"LARCENY - FROM BUILDING (INCLUDES LIBRARY, OFFICE USED BY PUBLIC, ETC)",A,600 BLOCK W STADIUM BLVD,ANN ARBOR,2021-12-16 17:45:00,LARCENY - ALL OTHER,-83.75311269899998,42.262054300000045
210047387,ALL OTHER,5015,FAILURE TO APPEAR (FTA),B,1500 BLOCK E MEDICAL CENTER DRIVE,ANN ARBOR,2021-12-20 22:27:00,OBSTRUCTING JUSTICE,-83.72887689899994,42.28363329900003
210047224,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,2300 BLOCK KINGSTON DR,ANN ARBOR,2021-12-19 18:30:00,ASSAULT - SIMPLE,-83.73740760099997,42.309769000000074
211000844,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,200 BLOCK MURRAY AVE,ANN ARBOR,2021-12-19 22:00:00,LARCENY - FROM AUTO (LFA),-83.75587159999998,42.280062100000066
210047217,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,2800 BLOCK CASCADE DR,ANN ARBOR,2021-12-19 17:15:00,ASSAULT - SIMPLE,-83.70283459999996,42.246071200000074
